,old_points,new_points,type
Real Madrid,42,53.2661254612544,spanish_2014
Barcelona,41,49.0472324723246,spanish_2014
Atletico Madrid,38,46.0472324723246,spanish_2014
Seville,36,44.0472324723246,spanish_2014
Valencia,35,39.8283394833947,spanish_2014
Villarreal,32,38.4377859778596,spanish_2014
Malaga,31,37.4377859778596,spanish_2014
Eibar,26,32.4377859778596,spanish_2014
Celta Vigo,21,24.2188929889298,spanish_2014
Espanyol,20,21.6094464944649,spanish_2014
Rayo Vallecano,20,26.4377859778596,spanish_2014
Real Sociedad,19,19,spanish_2014
Athletic Bilbao,19,22.2188929889298,spanish_2014
Getafe,17,20.2188929889298,spanish_2014
Cordoba,17,20.2188929889298,spanish_2014
Deportivo La Coruna,17,18.6094464944649,spanish_2014
Levante,16,17.6094464944649,spanish_2014
Almeria,16,22.4377859778596,spanish_2014
Elche,14,17.2188929889298,spanish_2014
Granada,14,15.6094464944649,spanish_2014
Atletico Madrid1,90,110.922804428044,spanish_2013
Barcelona1,87,104.703911439114,spanish_2013
Real Madrid1,87,104.703911439114,spanish_2013
Athletic Bilbao1,70,81.2661254612544,spanish_2013
Seville1,63,74.2661254612544,spanish_2013
Villarreal1,59,71.8755719557193,spanish_2013
Real Sociedad1,59,67.0472324723246,spanish_2013
Valencia1,49,53.8283394833947,spanish_2013
Celta Vigo1,49,61.8755719557193,spanish_2013
Levante1,48,56.0472324723246,spanish_2013
Malaga1,45,51.4377859778596,spanish_2013
Rayo Vallecano1,43,51.0472324723246,spanish_2013
Getafe1,42,50.0472324723246,spanish_2013
Espanyol1,42,48.4377859778596,spanish_2013
Granada1,41,49.0472324723246,spanish_2013
Elche1,40,44.8283394833947,spanish_2013
Almeria1,40,48.0472324723246,spanish_2013
Osasuna,39,45.4377859778596,spanish_2013
Real Valladolid,36,37.6094464944649,spanish_2013
Real Betis,25,26.6094464944649,spanish_2013
Barcelona2,100,122.532250922509,spanish_2012
Real Madrid2,85,99.4850184501842,spanish_2012
Atletico Madrid2,76,90.4850184501842,spanish_2012
Real Sociedad2,66,78.8755719557193,spanish_2012
Valencia2,65,74.6566789667895,spanish_2012
Malaga2,57,66.6566789667895,spanish_2012
Real Betis1,56,67.2661254612544,spanish_2012
Rayo Vallecano2,53,64.2661254612544,spanish_2012
Seville2,50,51.6094464944649,spanish_2012
Getafe2,47,53.4377859778596,spanish_2012
Levante2,46,52.4377859778596,spanish_2012
Athletic Bilbao2,45,51.4377859778596,spanish_2012
Espanyol2,44,52.0472324723246,spanish_2012
Real Valladolid1,43,49.4377859778596,spanish_2012
Granada2,42,50.0472324723246,spanish_2012
Osasuna1,39,43.8283394833947,spanish_2012
Celta Vigo2,37,41.8283394833947,spanish_2012
Mallorca,36,39.2188929889298,spanish_2012
Deportivo La Coruna1,35,38.2188929889298,spanish_2012
Real Zaragoza,34,40.4377859778596,spanish_2012
Chelsea,49,57.0472324723246,english_2014
Manchester City,47,58.2661254612544,english_2014
Southampton,39,47.0472324723246,english_2014
Manchester United,37,40.2188929889298,english_2014
Arsenal,36,42.4377859778596,english_2014
Tottenham Hotspur,34,42.0472324723246,english_2014
West Ham United,33,37.8283394833947,english_2014
Liverpool,32,40.0472324723246,english_2014
Swansea City,30,33.2188929889298,english_2014
Newcastle United,27,30.2188929889298,english_2014
Stoke City,26,30.8283394833947,english_2014
Everton,22,25.2188929889298,english_2014
Aston Villa,22,26.8283394833947,english_2014
West Bromwich Albion,21,24.2188929889298,english_2014
Crystal Palace,20,21.6094464944649,english_2014
Sunderland,20,23.2188929889298,english_2014
Burnley,20,21.6094464944649,english_2014
